ID;Риск;P;I;R;Уровень;Профилактические меры;План реагирования;Владелец
R1;Расширение объёма требований после согласования MVP;4;4;16;Высокий;"Зафиксировать границы MVP; change request";Перенос некритичных функций в следующий релиз;PM / PO
R2;Недоступность ключевых педагогов для интервью и приёмки;3;3;9;Средний;"Заранее согласовать календарь; резервные эксперты";Письменное согласование и резервные слоты;PM
R3;Проблемы интеграции с существующей LMS/SSO;3;5;15;Высокий;"Ранний прототип; проверить API и тестовый контур";Упрощённая авторизация / перенос части интеграции;Backend / Admin
R4;Нарушение требований защиты персональных данных;2;5;10;Высокий;"Минимизация данных; разграничение доступа; аудит";Блокировка проблемной функции до исправления;PM / Admin
R5;Отставание разработки от календарного плана;3;5;15;Высокий;"Приоритизация backlog; контроль сроков";"Сократить scope MVP; перераспределить ресурсы";PM / Dev lead
R6;Недостаточное качество тестирования перед пилотом;3;4;12;Высокий;"Критерии входа/выхода; тест-кейсы; раннее QA";Продлить стабилизацию за счёт второстепенных функций;QA / PM
R7;Низкая готовность педагогов пользоваться компонентом;3;4;12;Высокий;"Вовлечение в прототипирование; обучение";"Дополнительное обучение; упрощение UX";PO / Methodologist
R8;Низкое качество или несовместимость исходных данных LMS;3;3;9;Средний;Ранний анализ форматов и тестовых данных;"Очистка/преобразование; ручная загрузка для пилота";Analyst / Backend
R9;Временная недоступность ключевого специалиста;2;4;8;Средний;"Документирование; code review; распределение знаний";"Переназначение задач; резервный специалист";PM
R10;Недостаточная производительность инфраструктуры;2;4;8;Средний;Нагрузочное тестирование и мониторинг;Масштабирование ресурсов;Admin / Backend
